Discord Name,Winning Team,Captain Pool,Pool 1,Pool 2,Pool 3,Pool 4
Nishosc2,Itty Bitty Banana Committee,Azura ,Jesu ,Jackyyy ,Harokku ,Ibiree 
jackyyj,The Kitty Cabal,Acheron ,Nisho ,Jackyyy ,Harokku ,Anggrath 
tolototolo,Goobers Strike Back,Fjant ,sebesdes ,Frogos ,Tolo ,Ardent 
Frogos,Goblin's Bizarre Adventure,Djorjx ,GuitarKing ,Frogos ,YourBroChris ,Takuah 
lorimbo,Goobers Strike Back,Fjant ,sebesdes ,Lilipadd ,Tolo ,Esarel 
Xin,The Kitty Cabal,RotterdaM ,goblin ,Jackyyy ,YourBroChris ,Zehreela 
rombuzz,Raynor's Ruptors,Spazymazy ,Alluton ,Jackyyy ,Rombuzz ,CharactR 
Ardent,Goblin's Bizarre Adventure,Iba ,goblin ,Bulmyeolja ,Harokku ,Esarel 
Bulmyeolja,Itty Bitty Banana Committee,Azura ,CobbleStone ,Frogos ,YourBroChris ,Takuah 
Blade,Goobers Strike Back,Spazymazy ,Anticore ,Patches ,MarsBar ,CharactR 
anggrath,CorsAir BlueWings,Boanaan ,CobbleStone ,imData ,Harokku ,Anggrath 
gemini_19,Raynor's Ruptors,Azura ,GuitarKing ,Bulmyeolja ,YourBroChris ,Ardent 
imData,CorsAir BlueWings,Azura ,Mag ,imData ,Harokku ,Anggrath 
Magnath10,Goobers Strike Back,Boanaan ,Magnath ,Luolis ,MarsBar ,Esarel 
Unkletoby,Itty Bitty Banana Committee,Iba ,Alluton ,Patches ,Rombuzz ,Maykoto 
JonBom,Goblin's Bizarre Adventure,Spazymazy ,Nisho ,Jackyyy ,TheKazootie ,Rapdis 
luolis,May The Forge Be With You,RotterdaM ,Alluton ,Luolis ,GoatPuncher ,CharactR 
newhorizons,Goblin's Bizarre Adventure,Heaven ,Magnath ,imData ,Gorthauer ,CharactR 
MarsBar,Frogify Ribbit-ellion,RotterdaM ,goblin ,Patches ,MarsBar ,Zehreela 
boanaan,May The Forge Be With You,RotterdaM ,Alluton ,Luolis ,GoatPuncher ,Rapdis 
ArChon,Goblin's Bizarre Adventure,Iba ,goblin ,Jackyyy ,Harokku ,Maykoto 
Lilipadd,Goblin's Bizarre Adventure,RotterdaM ,sebesdes ,Dyncommon ,Tolo ,Esarel 
Xayad,Goblin's Bizarre Adventure,Fjant ,CobbleStone ,Bulmyeolja ,YourBroChris ,Ibiree 
YourBroChris,CorsAir BlueWings,RotterdaM ,GuitarKing ,Frogos ,YourBroChris ,Takuah 
Breadyhouse,Frogify Ribbit-ellion,RotterdaM ,Alluton ,Frogos ,Harokku ,Ibiree 
Alluton,May The Forge Be With You,RotterdaM ,Alluton ,Luolis ,GoatPuncher ,Rapdis 
Cobblestone05 ,Goblin's Bizarre Adventure,Acheron ,GuitarKing ,Frogos ,YourBroChris ,Ardent 
LeWaffles,Goblin's Bizarre Adventure,Boanaan ,GuitarKing ,Uncletoby ,TheKazootie ,Esarel 
dsmoth,The Kitty Cabal,Iba ,CobbleStone ,Dyncommon ,Gorthauer ,Ardent 
heavensc,Itty Bitty Banana Committee,Heaven ,goblin ,Dyncommon ,MarsBar ,Esarel 
Reevou,Goblin's Bizarre Adventure,Spazymazy ,Alluton ,Luolis ,MarsBar ,Revo 
Mag,CorsAir BlueWings,Acheron ,Anticore ,imData ,Tolo ,Anggrath 
Charact_r,Supply Block Heroes,Fjant ,Gemini ,NeWHoriZons ,Rombuzz ,Ardent 
xeliexia,Frogify Ribbit-ellion,Highdra ,Mag ,Frogos ,MarsBar ,Zehreela 
goblinsc2,Goblin's Bizarre Adventure,RotterdaM ,goblin ,Dyncommon ,YourBroChris ,Esarel 
Harokku,CorsAir BlueWings,Azura ,Mag ,imData ,Harokku ,Anggrath 
Fjant ,Goobers Strike Back,Fjant ,Magnath ,Lilipadd ,Tolo ,Esarel 
Lanzer,Goobers Strike Back,Fjant ,Gemini ,Lilipadd ,GoatPuncher ,Ibiree 
ibiree,CorsAir BlueWings,Iba ,goblin ,Jackyyy ,Harokku ,Ibiree 
Dyncommon,The Kitty Cabal,Acheron ,CobbleStone ,Dyncommon ,TheKazootie ,Anggrath 
galeforce_,Supply Block Heroes,Iba ,Gemini ,NeWHoriZons ,TheKazootie ,CharactR 
c0gnite,Goblin's Bizarre Adventure,Iba ,Gemini ,Jackyyy ,Rombuzz ,Maykoto 
franzji,CorsAir BlueWings,RotterdaM ,goblin ,Lilipadd ,Harokku ,Ardent 
Anticore,Itty Bitty Banana Committee,Iba ,Anticore ,Luolis ,Harokku ,Ibiree 
Kharathos,Goblin's Bizarre Adventure,Iba ,goblin ,NeWHoriZons ,MarsBar ,Ardent 
