"Name","Pool","Multiplier","Map_Wins","Point_Total"
"Grubenhubert","2","1.8","4","72"
"Djorjx","0","1.7","4","68"
"Iba","0","1.1","6","66"
"Sebesdes","1","1.6","4","64"
"Anticore","1","1.5","4","60"
"Boanaan","0","1.3","4","52"
"Magnath","1","1.3","4","52"
"Lilipadd","2","1.1","4","44"
"Fjant","0","1.1","4","44"
"Heaven","0","2.2","2","44"
"RotterdaM","0","2.1","2","42"
"Gref","0","2.1","2","42"
"Acheron","0","1.9","2","38"
"Frogos","2","1.8","2","36"
"Dyncommon","2","1.6","2","32"
"Luolis","2","1.6","2","32"
"Cobblestone","1","1.4","2","28"
"Mag","1","1.3","2","26"
"NeWHoriZons","2","1.2","2","24"
"Gemini","1","1.2","2","24"
"XenoDactyl","3","1.2","2","24"
"HiGhDrA","0","1.1","2","22"
"Nisho","1","1.1","2","22"
"SpazyMazy","0","1","2","20"
"Goblin","1","1","2","20"
"Jackyyy","2","1","0","20"
"Maykoto","4","1","2","20"
"Rombuzz","3","1","2","20"
"Bulmyeolja","2","1","2","20"
"Allutan","1","1.2","0","12"
"UnkleToby","2","1.2","0","12"
"Esarel","4","1.2","0","0"
"Azura","0","1.9","0","0"
"Anggrath","4","2","0","0"
"LegolandMan","3","1.9","0","0"
"imData","2","1.9","0","0"
"TheKazootie","3","1.5","0","0"
"Ardent","4","1.3","0","0"
"SewerBadger","4","2.1","0","0"
"Harokku","3","1.1","0","0"
"Tolo","3","2","0","0"
"YourBroChris","3","1.2","0","0"
"Rapdis","4","1.4","0","0"
"Michnek","0","1.9","0","0"
"Takuah","4","1.9","0","0"
"GoatPuncher","3","1.9","0","0"
"Revo","4","1.8","0","0"
"Gorthauer","3","1.4","0","0"
"CharactR","4","1.6","0","0"
"Jesu","1","1.2","0","0"
"C0gnite","1","1.6","0","0"
"Patches","2","1.4","0","0"
"Zehreela","4","2.2","0","0"
"Ibiree","4","1.9","0","0"
"Bready","3","1.4","0","0"
"MarsBar","3","1.6","0","0"
"LeWaffles","3","2","0","0"
"Franz","2","1.9","0","0"
"GuitarKing","1","1.4","0","0"
"EchoSoldier","4","2.5","0","0"
